# image-id: gear-shop-menu-overlay
# annotated_functions/total_functions: 156/156
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: c7a1982f0ea624c81fd0f85e1a1335c7517723f12ba3e2d08395842392423691
# load-address: 0x801c5000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: gear-shop-menu-image
# format: address, note

0x801C511C, function start — GearShopMenuGetRandomRangeValue; returns a random 16-bit value in the requested inclusive range while handling zero and 0xFFFF sentinels.
0x801C51B8, function start — GearShopMenuSetFt4Rect; assigns matching XY and UV rectangles.
0x801C5228, function start — GearShopMenuIsCharacterFlagSet; tests a character availability bit.
0x801C5244, function start — GearShopMenuGetCharacterBitMask; returns a character bit mask.
0x801C5260, function start — GearShopMenuGetGearEquipFlags; resolves Gear equip flags.
0x801C527C, function start — GearShopMenuGearCanEquip; tests whether a character can equip a Gear item.
0x801C5298, function start — GearShopMenuParseNumberToString; converts a number to display digits.
0x801C5344, function start — GearShopMenuUnk2Manager; allocates or frees MenuUnk2 state.
0x801C53A8, function start — GearShopMenuManagerManager; allocates or frees menu-manager state.
0x801C540C, function start — GearShopSelectionMenuManager; allocates or frees selection-menu state.
0x801C5470, function start — GearShopMenuUnk5Manager; allocates or frees auxiliary menu state.
0x801C54D4, function start — GearShopMenuDressingRoomManager; allocates or frees dressing-room state.
0x801C5538, function start — GearShopMenuUnk1Manager; allocates or frees background and cursor state.
0x801C559C, function start — GearShopMenuUnk7Manager; allocates or frees extended menu state.
0x801C5600, function start — GearShopMenuShopManager; allocates or frees Gear shop state.
0x801C5664, function start — GearShopMenuUnk8Manager; allocates or frees MenuUnk8 state.
0x801C56C8, function start — GearShopMenuLoadResources; loads and decompresses Gear shop resources.
0x801C5B08, function start — GearShopMenuFilterPartyMembers; retains unlocked members with Gears.
0x801C5C98, function start — GearShopMenuResetRenderContext; resets double-buffer render state.
0x801C5CA8, function start — GearShopMenuInitializeStringFt4Pair; initializes string glyph quads.
0x801C5EE8, function start — GearShopMenuInitializeMenuStringArray; renders pairs of strings into a VRAM buffer and initializes their double-buffered glyph quads.
0x801C6098, function start — GearShopMenuUploadSmallVramImage; uploads a small initialized image.
0x801C6114, function start — GearShopMenuInitializeTextResources; initializes menu text resources.
0x801C6170, function start — GearShopMenuInitializeWindowBorders; resolves border texture metadata.
0x801C6278, function start — GearShopMenuMovePointerCursor; positions the pointer cursor and optionally rebuilds its highlighted rectangle and border lines.
0x801C665C, function start — GearShopMenuClearManagerFlags; clears manager selection and render flags.
0x801C668C, function start — GearShopMenuSetPolyGradientColor; configures polygon gradient colors.
0x801C6708, function start — GearShopMenuInitializeBackgrounds; initializes selection and dimming primitives.
0x801C6A54, function start — GearShopMenuShopDataManager; loads or frees Gear shop inventory state.
